"major_heading";"activity_code";"met_value";"activity_description";"cal_60kg_h";"cal_70kg_h";"cal_80kg_h"
"Bicycling";"01003";"14";"Bicycling, mountain, uphill, vigorous";"882";"1029";"1176"
"Bicycling";"01004";"16";"Bicycling, mountain, competitive racing";"1008";"1176";"1344"
"Bicycling";"01008";"8.5";"Bicycling, BMX";"536";"625";"714"
"Bicycling";"01009";"8.5";"Bicycling, mountain, general";"536";"625";"714"
"Bicycling";"01010";"4";"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)";"252";"294";"336"
"Bicycling";"01011";"6.8";"Bicycling, to/from work, self selected pace";"428";"500";"571"
"Bicycling";"01013";"5.8";"Bicycling, on dirt or farm road, moderate pace";"365";"426";"487"
"Bicycling";"01014";"7";"Bicycling, general";"441";"514";"588"
"Bicycling";"01015";"4.3";"Bicycling, self-selected easy pace";"271";"316";"361"
"Bicycling";"01016";"7";"Bicycling, self-selected moderate pace";"441";"514";"588"
"Bicycling";"01017";"9";"Bicycling, self-selected vigorous pace";"567";"662";"756"
"Bicycling";"01018";"3.5";"Bicycling, leisure 5.5 mph";"220";"257";"294"
"Bicycling";"01019";"5.8";"Bicycling, leisure, 9.4 mph";"365";"426";"487"
"Bicycling";"01020";"6.8";"Bicycling, 10-11.9 mph, leisure, slow, light effort";"428";"500";"571"
"Bicycling";"01030";"8";"Bicycling, 12-13.9 mph, leisure, moderate effort";"504";"588";"672"
"Bicycling";"01040";"10";"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort";"630";"735";"840"
"Bicycling";"01050";"12";"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general";"756";"882";"1008"
"Bicycling";"01060";"16.8";"Bicycling, >20 mph, racing, not drafting";"1058";"1235";"1411"
"Bicycling";"01065";"8.5";"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm";"536";"625";"714"
"Bicycling";"01066";"9";"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm";"567";"662";"756"
"Bicycling";"01070";"5";"Unicycling";"315";"368";"420"
"Bicycling";"01080";"6.8";"E-bike (electrically assisted) without electronic support";"428";"500";"571"
"Bicycling";"01084";"6";"E-bike (electrically assisted) with light electronic support";"378";"441";"504"
"Bicycling";"01088";"4";"E-bike (electrically assisted) with high electronic support";"252";"294";"336"
"Bicycling";"01200";"6.8";"Bicycling, stationary, general";"428";"500";"571"
"Bicycling";"01210";"3.5";"Bicycling, stationary, 25-30 watts, very light to light effort";"220";"257";"294"
"Bicycling";"01214";"4";"Bicycling, stationary, 50 watts, light effort";"252";"294";"336"
"Bicycling";"01216";"5";"Bicycling, stationary, 60 watts, light to moderate effort";"315";"368";"420"
"Bicycling";"01218";"5.8";"Bicycling, stationary, 70-80 watts";"365";"426";"487"
"Bicycling";"01220";"6";"Bicycling, stationary, 90-100 watts,  moderate to vigorous";"378";"441";"504"
"Bicycling";"01224";"6.8";"Bicycling, stationary, 101-125 watts";"428";"500";"571"
"Bicycling";"01228";"8";"Bicycling, stationary, 126-150 watts";"504";"588";"672"
"Bicycling";"01232";"10.3";"Bicycling, stationary, 151-199 watts";"649";"757";"865"
"Bicycling";"01236";"10.8";"Bicycling, stationary, 200-229 watts, vigorous";"680";"794";"907"
"Bicycling";"01240";"12.5";"Bicycling, stationary, 230-250 watts, very vigorous";"788";"919";"1050"
"Bicycling";"01244";"13.8";"Bicycling, stationary, 270-305 watts, very vigorous";"869";"1014";"1159"
"Bicycling";"01248";"16.3";"Bicycling, stationary, >325 watts, very vigorous";"1027";"1198";"1369"
"Bicycling";"01252";"5.5";"Bicycling, concentric only, 100 W";"346";"404";"462"
"Bicycling";"01254";"11";"Bicycling, concentric only, 200 W";"693";"808";"924"
"Bicycling";"01262";"2.3";"Bicycling, eccentric only, 100 to 149 W2024 Adult Compendium of Physical Activities";"145";"169";"193"
"Bicycling";"01264";"4";"Bicycling, eccentric only, 200 W";"252";"294";"336"
"Bicycling";"01270";"9";"Bicycling, stationary, RPM/Spin bike class";"567";"662";"756"
