"sous_groupe";"id_aliment";"nom";"calories_kcal_100g";"proteines_g_100g";"glucides_g_100g";"lipides_g_100g";"sucres_g_100g";"ag_satures_g_100g";"fibres_g_100g";"sel_g_100g";"sodium_mg_100g";"calcium_mg_100g";"fer_mg_100g";"magnesium_mg_100g";"potassium_mg_100g";"zinc_mg_100g";"vitamine_d_µg_100g";"vitamine_e_mg_100g";"vitamine_b1_mg_100g";"vitamine_b2_mg_100g";"vitamine_b3_mg_100g";"vitamine_b5_mg_100g";"vitamine_b12_µg_100g";"eau_g_100g"
"boisson alcoolisées";"1000";"Pastis";"274";"0";"2.86";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0.02";"0";"0";"0";"0";"0";"0";"0";"59.7"
"boisson alcoolisées";"1001";"Eau de vie de fruits";"233";"0";"0.63";"0";"0";"0";"0";"0.0035";"1.39";"1";"0.04";"0";"1.44";"0.019";"0";"0";"0";"0";"0";"0";"0";"66.4"
"boisson alcoolisées";"1002";"Gin";"265";"0";"0";"0";"0";"0";"0";"0.005";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62.1"
"boisson alcoolisées";"1003";"Liqueur";"225";"0.1";"25.4";"0.23";"17.4";"0.11";"0";"0.02";"8";"1";"0.06";"3";"30";"0.03";"0";"0";"0.004";"0.012";"0.14";"0";"0";"55.8"
"boisson alcoolisées";"1004";"Rhum";"234";"0";"0";"0";"0";"0";"0";"0.0025";"1";"0";"0.12";"0";"2";"0.07";"0";"0";"0.008";"0";"0";"0";"0";"66.6"
"boisson alcoolisées";"1005";"Whisky";"252";"0";"0.096";"0";"0.096";"0";"0";"0";"0";"0";"0.02";"0";"1";"0.02";"0";"0";"0.008";"0.001";"0.05";"0";"0";"63.9"
"boisson alcoolisées";"1006";"Vin doux";"148";"0.2";"9.96";"0";"7.78";"0";"0";"0.023";"9";"8";"0.24";"9";"92";"0.07";"0";"0";"0.018";"0.018";"0.21";"0.032";"0";"70.5"
"boisson alcoolisées";"1007";"Apéritif à base de vin ou vermouth";"137";"0.054";"11.3";"0";"11.1";"0";"0";"0.038";"15";"7.37";"0.44";"7";"48";"0.035";"0";"0";"0";"0";"0.045";"0";"0.0033";"75.3"
"boisson alcoolisées";"1008";"Vodka";"250";"0";"0";"0";"0";"0";"0";"0.0025";"1";"0";"0.025";"0";"1.5";"0.04";"0";"0";"0.0055";"0.0055";"0.013";"0";"0";"64.4"
"boisson alcoolisées";"1010";"Pastis, prêt à boire (1+ 5)";"0";"0";"0.5";"0";"0";"0";"0";"0.0063";"1.99";"0";"0.039";"0.82";"0";"0.013";"0";"0";"0";"0";"0";"0";"0";"93.1"
